Undergraduate,COMP3431,Robotic Software Architecture,"Prerequisite: COMP2521 or COMP1927, and a WAM of at least 70"
Undergraduate,COMP3511,Human Computer Interaction,Prerequisite: Completion of 48 UOC
Undergraduate,COMP3601,Design Project A,Prerequisite: COMP2121
Undergraduate,COMP3821,Ext Algorithms&Prog Techniques,Prerequisite: A mark of at least 65 in COMP1927 or COMP2521
Undergraduate,COMP3891,Ext Operating Systems,"Prerequisite: COMP1521 or COMP2121, and COMP2521 or COMP1927, and a WAM of at least 75"
Undergraduate,COMP3900,Computer Science Project,"Prerequisite: COMP1531, and COMP2521 or COMP1927, and enrolled in a BSc Computer Science major."
Undergraduate,COMP3901,Special Project A,"Prerequisite: 80+ WAM in COMP, SENG or BINF courses, completion of all first and second year core requirements a CSE program, and agreement from a suitable CSE academic supervisor."
Undergraduate,COMP3902,Special Project B,"Prerequisite: 80+ WAM in COMP, SENG or BINF courses, completion of all first and second year core requirements a CSE program, and agreement from a suitable CSE academic supervisor."
Undergraduate,COMP4121,Advanced & Parallel Algorithms,Prerequisite: COMP9101 or COMP9801.
Undergraduate,COMP4128,Programming Challenges,"Co-equisite: COMP3821, or COMP3121 and a 75WAM"
Undergraduate,COMP4141,Theory of Computation,Prerequisite: COMP9020 and COMP9024
Undergraduate,COMP4161,Advanced Verification,Prerequisite: Completion of 48 UOC
Undergraduate,COMP4336,Mobile Data Networking,Prerequisite: COMP3331.
Undergraduate,COMP4337,Securing Wireless Networks,Prerequisite: COMP3331.
Undergraduate,COMP4418,Knowledge Representation,Prerequisite: COMP9414 or COMP9814 or COMP4415
Undergraduate,COMP4511,User Interface Design & Constr,Prerequisite: a mark of at least 70 in COMP9511 and a mark of at least 65 in COMP9021
Undergraduate,COMP4601,Design Project B,Prerequisite: COMP3222 and COMP3601.
Undergraduate,COMP4920,Management and Ethics,"Prerequisite: COMP2511 or COMP2911, and in the final year of the BSc Computer Science or BE / BE (Hons) Bioinformatics Engineering or Computer Engineering.  Software Engineering students enrol in SENG4920."
Undergraduate,COMP4930,Thesis Part A,"Prerequisite:  Enrolment in Bachelor of Science (Honours) program 4515, or 126 units of credit completed in BE Computer Engineering, BE Bioinformatics or Bioinformatics Engineering, or BE (Honours) Software Engineering."
Undergraduate,COMP4931,Thesis Part B,Prerequisite: COMP4930.  Excluded: Program 4515.
Undergraduate,COMP4941,Thesis Part B,Prerequisite: COMP4930 and [75 WAM or enrolment in Computer Science Honours]
Undergraduate,COMP6324,IoT Services Engineering,Prerequisite: COMP9021 and COMP9311
Undergraduate,COMP6441,Security Engineering,Prerequisite: Completion of 48 UOC
Undergraduate,COMP6443,Web Application Security,Prerequisite: COMP6441 or COMP6841 or COMP9441
Undergraduate,COMP6445,Digital Forensics,"Prerequisite: COMP6441 or COMP6841 or COMP9441, and COMP9201 or COMP9283"
Undergraduate,COMP6447,Security Assessment,"Prerequisite: A mark of at least 65 in COMP6841, or a mark of at least 75 in COMP6441 or COMP9441"
Undergraduate,COMP6714,Info Retrieval and Web Search,Prerequisite: COMP9020 and COMP9021
Undergraduate,COMP6733,Internet of Things,Prerequisite: 65 WAM and COMP9331
Undergraduate,COMP6741,Parameterized & Exact Comp.,Prerequisite: COMP9101 or COMP9801.
